Title,Release date,Genre,Runtime,Language
A Perfect Fit,"July 15, 2021",Romantic comedy / drama,1 h 52 min,Indonesian
My Amanda,"July 15, 2021",Romance,1 h 29 min,Filipino
Deep,"July 16, 2021",Science fiction,1 h 41 min,Thai
Fear Street Part 3: 1666,"July 16, 2021",Supernatural horror,1 h 54 min,English
Blood Red Sky,"July 23, 2021",Thriller,2 h 3 min,German
Bankrolled,"July 23, 2021",Comedy,1 h 37 min,Spanish
Bartkowiak,"July 28, 2021",Action,1 h 31 min,Polish
Resort to Love,"July 29, 2021",Romantic comedy,1 h 41 min,English
The Last Mercenary,"July 30, 2021",Action comedy,1 h 52 min,French
The Kissing Booth 3,"August 11, 2021",Comedy drama,1 h 53 min,English
Beckett,"August 13, 2021",Action thriller,1 h 50 min,English
Black Island,"August 18, 2021",Thriller,1 h 44 min,German
The Secret Diary of an Exchange Student,"August 18, 2021",Romantic comedy,1 h 36 min,Portuguese
Sweet Girl,"August 20, 2021",Action,1 h 50 min,English
The Loud House Movie,"August 20, 2021",Animation/comedy,1 h 27 min,English
The Witcher: Nightmare of the Wolf,"August 23, 2021",Animated dark fantasy,1 h 23 min,English
He's All That,"August 27, 2021",Teen romantic comedy,1 h 31 min,English
Afterlife of the Party,"September 2, 2021",Comedy,1 h 49 min,English
JJ+E,"September 8, 2021",Romance,1 h 31 min,Swedish
Kate,"September 10, 2021",Action thriller,1 h 46 min,English
Prey,"September 10, 2021",Thriller,1 h 27 min,German
Nightbooks,"September 15, 2021",Fantasy/horror,1 h 40 min,English
Ankahi Kahaniya,"September 17, 2021",Anthology film,1 h 50 min,Hindi
Confessions of an Invisible Girl,"September 22, 2021",Drama,1 h 31 min,Portuguese
Intrusion,"September 22, 2021",Thriller,1 h 33 min,English
The Starling,"September 24, 2021",Comedy drama,1 h 44 min,English
Friendzone,"September 29, 2021",Romantic comedy,1 h 28 min,French
No One Gets Out Alive,"September 29, 2021",Horror,1 h 25 min,English
Sounds Like Love,"September 29, 2021",Romantic comedy,1 h 50 min,Spanish
Diana: The Musical,"October 1, 2021",Musical,1 h 57 min,English
Forever Rich,"October 1, 2021",Thriller,1 h 30 min,Dutch
Swallow,"October 1, 2021",Drama,2 h 8 min,English
The Guilty,"October 1, 2021",Thriller,1 h 31 min,English
There's Someone Inside Your House,"October 6, 2021",Slasher,1 h 36 min,English
Grudge,"October 8, 2021",Thriller,1 h 46 min,Turkish
"My Brother, My Sister","October 8, 2021",Drama,1 h 50 min,Italian
Bright: Samurai Soul,"October 12, 2021",Anime/fantasy,1 h 20 min,Japanese
Fever Dream,"October 13, 2021",Drama,1 h 33 min,Spanish
Operation Hyacinth,"October 13, 2021",Drama,1 h 52 min,Polish
A World Without,"October 14, 2021",Science fiction / teen drama,1 h 47 min,Indonesian
The Four of Us,"October 15, 2021",Comedy,1 h 28 min,German
Night Teeth,"October 20, 2021",Thriller,1 h 48 min,English
Stuck Together,"October 20, 2021",Comedy,2 h 6 min,French
Little Big Mouth,"October 22, 2021",Romantic comedy,1 h 34 min,English
Hypnotic,"October 27, 2021",Thriller,1 h 29 min,English
Nobody Sleeps in the Woods Tonight Part 2,"October 27, 2021",Horror,1 h 37 min,Polish
Army of Thieves,"October 29, 2021",Romantic comedy / heist,2 h 9 min,English
The Harder They Fall,"November 3, 2021",Western,2 h 19 min,English
Love Hard,"November 5, 2021",Romantic comedy,1 h 46 min,English
Meenakshi Sundareshwar,"November 5, 2021",Romantic comedy,2 h 21 min,Hindi
We Couldn't Become Adults,"November 5, 2021",Drama,2 h 4 min,Japanese
Yara,"November 5, 2021",Drama,1 h 36 min,Italian
Father Christmas Is Back,"November 7, 2021",Comedy,1 h 45 min,English
Happiness Ever After,"November 10, 2021",Romantic drama,1 h 39 min,English
Passing,"November 10, 2021",Drama,1 h 39 min,English
7 Prisoners,"November 11, 2021",Drama,1 h 34 min,Portuguese
Red Notice,"November 12, 2021",Action comedy,1 h 57 min,English
Just Short of Perfect,"November 18, 2021",Romantic comedy,1 h 34 min,Portuguese
The Princess Switch 3: Romancing the Star,"November 18, 2021",Romantic comedy,1 h 46 min,English
Dhamaka,"November 19, 2021",Action thriller,1 h 44 min,Hindi
Love Me Instead,"November 19, 2021",Drama,2 h 4 min,Turkish
"Tick, Tick... Boom!","November 19, 2021",Musical,1 h 55 min,English
Bruised,"November 24, 2021",Drama,2 h 12 min,English
A Castle for Christmas,"November 26, 2021",Romantic comedy,1 h 39 min,English
The Power of the Dog,"December 1, 2021",Drama,2 h 8 min,English
Single All the Way,"December 2, 2021",Holiday romantic comedy,1 h 41 min,English
The Whole Truth,"December 2, 2021",Horror,2 h 5 min,Thai
Mixtape,"December 3, 2021",Coming-of-age comedy-drama,1 h 37 min,English
David and the Elves,"December 6, 2021",Fantasy,1 h 46 min,Polish
The Claus Family 2,"December 7, 2021",Fantasy,1 h 37 min,Dutch
Asakusa Kid,"December 9, 2021",Drama,2 h 3 min,Japanese
Anonymously Yours,"December 10, 2021",Romantic comedy,1 h 41 min,Spanish
Back to the Outback,"December 10, 2021",Animation,1 h 35 min,English
The Unforgivable,"December 10, 2021",Drama,1 h 54 min,English
The Hand of God,"December 15, 2021",Drama,2 h 10 min,Italian
A California Christmas: City Lights,"December 16, 2021",Romantic comedy,1 h 30 min,English
A Naija Christmas,"December 16, 2021",Romantic comedy,2 h 1 min,English
Grumpy Christmas,"December 21, 2021",Comedy,1 h 27 min,Spanish
1000 Miles from Christmas,"December 24, 2021",Christmas film,1 h 42 min,Spanish
Don't Look Up,"December 24, 2021",Science fiction comedy,2 h 18 min,English
Minnal Murali,"December 24, 2021",Superhero,2 h 39 min,Malayalam
Lulli,"December 26, 2021",Comedy,1 h 30 min,Portuguese
Four to Dinner,"January 5, 2022",Romantic comedy,1 h 30 min,Italian
The Wasteland,"January 6, 2022",Horror,1 h 32 min,Spanish
How I Fell in Love with a Gangster,"January 12, 2022",Drama,2 h 59 min,Polish
Brazen,"January 13, 2022",Romantic thriller,1 h 36 min,English
Photocopier,"January 13, 2022",Coming-of-age drama,2 h 10 min,Indonesian
This Is Not a Comedy,"January 14, 2022",Comedy drama,1 h 45 min,Spanish
The Royal Treatment,"January 20, 2022",Romance,1 h 37 min,English
Amandla,"January 21, 2022",Drama,1 h 46 min,English
Munich – The Edge of War,"January 21, 2022",Historical drama / thriller,2 h 11 min,English
My Father's Violin,"January 21, 2022",Drama,1 h 52 min,Turkish
Home Team,"January 28, 2022",Sports comedy,1 h 37 min,English
Looop Lapeta,"February 4, 2022",Romantic thriller,2 h 11 min,Hindi
Through My Window,"February 4, 2022",Drama,1 h 53 min,Spanish
The Privilege,"February 9, 2022",Horror,1 h 47 min,German
Into the Wind,"February 10, 2022",Romantic drama,1 h 48 min,Polish
Bigbug,"February 11, 2022",Science fiction comedy,1 h 51 min,French
Love and Leashes,"February 11, 2022",Romantic comedy,1 h 58 min,Korean
Love Tactics,"February 11, 2022",Romantic comedy,1 h 38 min,Turkish
Tall Girl 2,"February 11, 2022",Teen romantic comedy,1 h 41 min,English
Fistful of Vengeance,"February 17, 2022",Supernatural martial arts drama,1 h 36 min,English
Texas Chainsaw Massacre,"February 18, 2022",Slasher,1 h 23 min,English
Rabbids Invasion: Mission to Mars,"February 18, 2022",Animation / Comedy,1 h 10 min,English
UFO,"February 23, 2022",Drama,1 h 50 min,Turkish
A Madea Homecoming,"February 25, 2022",Comedy,1 h 47 min,English
Restless,"February 25, 2022",Action thriller,1 h 36 min,French
Against the Ice,"March 2, 2022",Survival,1 h 43 min,English
The Weekend Away,"March 3, 2022",Thriller,1 h 31 min,English
The Invisible Thread,"March 4, 2022",Comedy drama,1 h 30 min,Italian
The Adam Project,"March 11, 2022",Science fiction,1 h 46 min,English
Rescued by Ruby,"March 17, 2022",Drama,1 h 33 min,English
Black Crab,"March 18, 2022",Thriller,1 h 54 min,Swedish
Without Saying Goodbye,"March 18, 2022",Romantic comedy,1 h 36 min,Spanish
Windfall,"March 18, 2022",Thriller,1 h 32 min,English
In Good Hands,"March 21, 2022",Romantic comedy,1 h 44 min,Turkish
Love Like the Falling Petals,"March 24, 2022",Drama,2 h 9 min,Japanese
All Hail,"March 30, 2022",Drama,1 h 58 min,Spanish
Apollo 10 1⁄2: A Space Age Childhood,"April 1, 2022",Animation,1 h 38 min,English
Battle: Freestyle,"April 1, 2022",Romantic drama,1 h 28 min,Norwegian
The Bubble,"April 1, 2022",Comedy,2 h 6 min,English
Cobalt Blue,"April 2, 2022",Romantic drama,1 h 52 min,Hindi
Dancing on Glass,"April 8, 2022",Drama,2 h 19 min,Spanish
Metal Lords,"April 8, 2022",Musical comedy drama,1 h 38 min,English
Yaksha: Ruthless Operations,"April 8, 2022",Spy,2 h 5 min,Korean
The Taming of the Shrewd,"April 13, 2022",Comedy,1 h 52 min,Polish
Choose or Die,"April 15, 2022",Horror,1 h 25 min,English
Man of God,"April 16, 2022",Drama,1 h 51 min,English
The Turning Point,"April 20, 2022",Drama,1 h 30 min,Italian
365 Days: This Day,"April 27, 2022",Erotic thriller,1 h 51 min,English
Silverton Siege,"April 27, 2022",Action thriller,1 h 41 min,English
Bubble,"April 28, 2022",Anime,1 h 41 min,Japanese
Honeymoon with My Mother,"April 29, 2022",Comedy,1 h 50 min,Spanish
Rumspringa – An Amish in Berlin,"April 29, 2022",Comedy,1 h 42 min,German
Along for the Ride,"May 6, 2022",Drama,1 h 47 min,English
The Takedown,"May 6, 2022",Action comedy,2 h 1 min,French
Thar,"May 6, 2022",Western thriller,1 h 48 min,Hindi
Senior Year,"May 13, 2022",Comedy,1 h 53 min,English
Toscana,"May 18, 2022",Drama,1 h 30 min,Danish
A Perfect Pairing,"May 19, 2022",Romantic comedy,1 h 42 min,English
F*ck Love Too,"May 20, 2022",Romantic comedy,1 h 32 min,Dutch
Godspeed,"May 23, 2022",Drama,1 h 59 min,Turkish
Interceptor,"June 3, 2022",Action drama,1 h 38 min,English
Hustle,"June 8, 2022",Sports,1 h 58 min,English
Trees of Peace,"June 10, 2022",Drama,1 h 38 min,English
Centauro,"June 15, 2022",Action thriller,1 h 30 min,Spanish
Heart Parade,"June 15, 2022",Romantic comedy,1 h 48 min,Polish
The Wrath of God,"June 15, 2022",Thriller,1 h 38 min,Spanish
Spiderhead,"June 17, 2022",Science fiction action thriller,1 h 47 min,English
Doom of Love,"June 20, 2022",Drama,1 h 40 min,Turkish
Love & Gelato,"June 22, 2022",Romance,1 h 52 min,English
Blasted,"June 28, 2022",Science fiction / comedy,1 h 55 min,Norwegian
Beauty,"June 29, 2022",Drama,1 h 35 min,English
"Hello, Goodbye, and Everything in Between","July 6, 2022",Romantic comedy,1 h 24 min,English
Dangerous Liaisons,"July 8, 2022",Romantic drama,1 h 49 min,French
Jewel,"July 8, 2022",Drama,1 h 20 min,English
The Sea Beast,"July 8, 2022",Animated adventure,1 h 59 min,English
For Jojo,"July 11, 2022",Drama,1 h 30 min,German
Under the Amalfi Sun,"July 13, 2022",Comedy drama,1 h 30 min,Italian
Jaadugar,"July 15, 2022",Comedy,2 h 47 min,Hindi
Persuasion,"July 15, 2022",Drama,1 h 49 min,English
The Gray Man,"July 22, 2022",Spy thriller,2 h 9 min,English
Recurrence,"July 27, 2022",Thriller,1 h 56 min,Spanish
A Cut Above,"July 28, 2022",Comedy,1 h 31 min,Portuguese
The Entitled,"July 29, 2022",Romantic comedy,1 h 30 min,Filipino
Purple Hearts,"July 29, 2022",Romance,2 h 2 min,English
Buba,"August 3, 2022",Comedy,1 h 34 min,German
Don't Blame Karma!,"August 3, 2022",Romantic comedy,1 h 25 min,Spanish
Wedding Season,"August 4, 2022",Comedy,1 h 37 min,English
Carter,"August 5, 2022",Action,2 h 14 min,Korean
Darlings,"August 5, 2022",Comedy drama,2 h 14 min,Hindi
Rise of the Teenage Mutant Ninja Turtles: The Movie,"August 5, 2022",Animated action-adventure,1 h 22 min,English
Heartsong,"August 10, 2022",Romantic comedy,1 h 35 min,Turkish
13: The Musical,"August 12, 2022",Musical,1 h 34 min,English
Day Shift,"August 12, 2022",Fantasy comedy,1 h 53 min,English
Look Both Ways,"August 17, 2022",Romantic comedy,1 h 51 min,English
Royalteen,"August 17, 2022",Coming-of-age,1 h 48 min,Norwegian
The Next 365 Days,"August 19, 2022",Erotic thriller,1 h 53 min,English
That's Amor,"August 25, 2022",Romantic comedy,1 h 36 min,English
Loving Adults,"August 26, 2022",Thriller,1 h 45 min,Danish
Me Time,"August 26, 2022",Comedy,1 h 44 min,English
Seoul Vibe,"August 26, 2022",Action,2 h 20 min,Korean
I Came By,"August 31, 2022",Thriller,1 h 50 min,English
Fenced in,"September 1, 2022",Comedy,1 h 50 min,Portuguese
Love in the Villa,"September 1, 2022",Romantic comedy,1 h 55 min,English
The Festival of Troubadours,"September 2, 2022",Drama,1 h 42 min,Turkish
End of the Road,"September 9, 2022",Crime thriller,1 h 31 min,English
No Limit,"September 9, 2022",Thriller,1 h 58 min,French
Broad Peak,"September 14, 2022",Thriller,1 h 42 min,Polish
Do Revenge,"September 16, 2022",Black comedy,1 h 58 min,English
Drifting Home,"September 16, 2022",Anime,2 h,Japanese
I Used to Be Famous,"September 16, 2022",Musical drama,1 h 44 min,English
Jogi,"September 16, 2022",Drama,1 h 56 min,Hindi
The Perfumier,"September 21, 2022",Crime drama,1 h 36 min,German
A Jazzman's Blues,"September 23, 2022",Drama,2 h 8 min,English
Lou,"September 23, 2022",Thriller,1 h 47 min,English
Athena,"September 23, 2022",Drama,1 h 37 min,French
Blonde,"September 28, 2022",Biographical drama,2 h 47 min,English
Aníkúlápó,"September 30, 2022",Fantasy drama,2 h 22 min,Yoruba
Plan A Plan B,"September 30, 2022",Romantic comedy,1 h 46 min,Hindi
Rainbow,"September 30, 2022",Fantasy drama,1 h 58 min,Spanish
Jumping from High Places,"October 5, 2022",Drama,1 h 28 min,Italian
Mr. Harrigan's Phone,"October 5, 2022",Horror,1 h 46 min,English
Togo,"October 5, 2022",Thriller,1 h 35 min,Spanish
Doll House,"October 7, 2022",Drama,1 h 46 min,Filipino
Luckiest Girl Alive,"October 7, 2022",Mystery,1 h 55 min,English
Old People,"October 7, 2022",Horror,1 h 41 min,German
Someone Borrowed,"October 11, 2022",Romantic comedy,1 h 47 min,Portuguese
The Curse of Bridge Hollow,"October 14, 2022",Comedy,1 h 31 min,English
The School for Good and Evil,"October 19, 2022",Children's fantasy,2 h 28 min,English
The Stranger,"October 19, 2022",Thriller,1 h 57 min,English
20th Century Girl,"October 21, 2022",Romantic,2 h 1 min,Korean
Hellhole,"October 26, 2022",Horror,1 h 30 min,Polish
Robbing Mussolini,"October 26, 2022",Action comedy,1 h 30 min,Italian
The Good Nurse,"October 26, 2022",Drama,2 h 3 min,English
Beyond the Universe,"October 27, 2022",Romantic drama,2 h 7 min,Portuguese
All Quiet on the Western Front,"October 28, 2022",War drama,2 h 28 min,German
Cici,"October 28, 2022",Drama,2 h 31 min,Turkish
Wendell & Wild,"October 28, 2022",Stop motion fantasy horror comedy,1 h 46 min,English
Wild Is the Wind,"October 28, 2022",Crime drama,2 h 3 min,English
The Takeover,"November 1, 2022",Action / thriller,1 h 28 min,Dutch
The Soccer Football Movie,"November 9, 2022",Animation,1 h 13 min,English
Falling for Christmas,"November 10, 2022",Romantic comedy,1 h 35 min,English
Lost Bullet 2: Back for More,"November 10, 2022",Action,1 h 40 min,French
Don't Leave,"November 11, 2022",Drama,1 h 47 min,Turkish
"Monica, O My Darling","November 11, 2022",Neo-noir comedy thriller,2 h 10 min,Hindi
My Father's Dragon,"November 11, 2022",Animated fantasy adventure,1 h 43 min,English
The Lost Lotteries,"November 16, 2022",Comedy,1 h 46 min,Thai
The Wonder,"November 16, 2022",Psychological drama,1 h 49 min,English
Christmas with You,"November 17, 2022",Romantic comedy,1 h 30 min,English
Slumberland,"November 18, 2022",Fantasy adventure,2 h,English
Christmas on Mistletoe Farm,"November 23, 2022",Comedy,1 h 43 min,English
Lesson Plan,"November 23, 2022",Crime drama,1 h 39 min,Polish
The Swimmers,"November 23, 2022",Drama,2 h 15 min,English
Who's a Good Boy?,"November 23, 2022",Comedy,1 h 35 min,Spanish
The Noel Diary,"November 24, 2022",Drama,1 h 40 min,English
A Man of Action,"November 30, 2022",Biopic,1 h 51 min,Spanish
Christmas Full of Grace,"November 30, 2022",Romantic comedy,1 h 45 min,Portuguese
My Name Is Vendetta,"November 30, 2022",Thriller,1 h 30 min,Italian
Qala,"December 1, 2022",Drama,1 h 59 min,Hindi
Troll,"December 1, 2022",Monster,1 h 43 min,Norwegian
Lady Chatterley's Lover,"December 2, 2022",Romantic drama,2 h 7 min,English
Scrooge: A Christmas Carol,"December 2, 2022",Animation,1 h 41 min,English
Delivery by Christmas,"December 6, 2022",Romantic comedy,1 h 40 min,Polish
Burning Patience,"December 7, 2022",Drama,1 h 30 min,Spanish
The Marriage App,"December 7, 2022",Drama,1 h 41 min,Spanish
The Claus Family 3,"December 8, 2022",Fantasy,1 h 13 min,Dutch
Guillermo del Toro's Pinocchio,"December 9, 2022",Stop motion fantasy musical drama,1 h 56 min,English
I Believe in Santa,"December 14, 2022",Romantic comedy,1 h 30 min,English
The Big 4,"December 15, 2022",Action comedy,2 h 21 min,Indonesian
"Bardo, False Chronicle of a Handful of Truths","December 16, 2022",Comedy,2 h 39 min,Spanish
Private Lesson,"December 16, 2022",Romantic comedy,1 h 29 min,Turkish
A Not So Merry Christmas,"December 20, 2022",Comedy,1 h 40 min,Spanish
Glass Onion: A Knives Out Mystery,"December 23, 2022",Murder mystery,2 h 19 min,English
A Night at the Kindergarten,"December 28, 2022",Black comedy,1 h 37 min,Polish
White Noise,"December 30, 2022",Black comedy,2 h 16 min,English
The Pale Blue Eye,"January 6, 2023",Historical thriller drama,2 h 10 min,English
Noise,"January 11, 2023",Drama,1 h 45 min,Spanish
Dog Gone,"January 13, 2023",Family drama,1 h 35 min,English
Disconnect: The Wedding Planner,"January 13, 2023",Romantic comedy,1 h 47 min,English
Alkhallat+,"January 19, 2023",Satirical thriller,1 h 57 min,Arabic
Jung E,"January 20, 2023",Sci-fi action / adventure,1 h 39 min,Korean
Mission Majnu,"January 20, 2023",Spy thriller,2 h 9 min,Hindi
The Price of Family,"January 25, 2023",Comedy,1 h 30 min,Italian
You People,"January 27, 2023",Comedy,1 h 58 min,English
True Spirit,"February 3, 2023",Biopic,1 h 49 min,English
Infiesto,"February 3, 2023",Thriller,1 h 36 min,Spanish
Dear David,"February 9, 2023",Coming-of-age romantic drama,1 h 58 min,Indonesian
Your Place or Mine,"February 10, 2023",Romantic comedy,1 h 51 min,English
Squared Love All Over Again,"February 13, 2023",Romantic comedy,1 h 40 min,Polish
All the Places,"February 14, 2023",Comedy-drama,1 h 37 min,Spanish
Unlocked,"February 17, 2023",Thriller,1 h 57 min,Korean
The Strays,"February 22, 2023",Drama,1 h 37 min,English
Call Me Chihiro,"February 23, 2023",Drama,2 h 11 min,Japanese
We Have a Ghost,"February 24, 2023",Family adventure,2 h 7 min,English
Tonight You're Sleeping with Me,"March 1, 2023",Romantic drama,1 h 33 min,Polish
10 Days of a Good Man,"March 3, 2023",Drama,2 h 4 min,Turkish
Love at First Kiss,"March 3, 2023",Romantic comedy,1 h 36 min,Spanish
Faraway,"March 8, 2023",Romantic comedy,1 h 49 min,English
Have a Nice Day!,"March 10, 2023",Comedy,1 h 33 min,Spanish
Luther: The Fallen Sun,"March 10, 2023",Crime drama,2 h 10 min,English
In His Shadow,"March 17, 2023",Drama,1 h 29 min,French
Noise,"March 17, 2023",Thriller,1 h 30 min,Dutch
The Magician's Elephant,"March 17, 2023",Animation,1 h 43 min,English
Chor Nikal Ke Bhaga,"March 24, 2023",Heist thriller,1 h 50 min,Hindi
Kill Boksoon,"March 31, 2023",Crime thriller,2 h 19 min,Korean
Murder Mystery 2,"March 31, 2023",Mystery comedy,1 h 30 min,English
Chupa,"April 7, 2023",Fantasy adventure,1 h 38 min,English
Kings of Mulberry Street: Let Love Reign,"April 7, 2023",Comedy,1 h 49 min,English
Oh Belinda,"April 7, 2023",Drama,1 h 37 min,Turkish
Hunger,"April 8, 2023",Thriller drama,2 h 10 min,Thai
Queens on the Run,"April 14, 2023",Comedy,1 h 37 min,Spanish
Phenomena,"April 14, 2023",Comedy,1 h 34 min,Spanish
A Tourist's Guide to Love,"April 21, 2023",Romantic comedy,1 h 36 min,English
Chokehold,"April 21, 2023",Thriller,1 h 52 min,Turkish
One More Time,"April 21, 2023",Comedy,1 h 25 min,Swedish
"Kiss, Kiss!","April 26, 2023",Romantic comedy,1 h 47 min,Polish
The Matchmaker,"April 27, 2023",Psychological thriller,1 h 21 min,Arabic
AKA,"April 28, 2023",Action thriller,2 h 4 min,French
Royalteen: Princess Margrethe,"May 11, 2023",Coming-of-age,1 h 38 min,Norwegian
The Mother,"May 12, 2023",Action drama,1 h 57 min,English
Fanfic,"May 17, 2023",Drama,1 h 35 min,Polish
Kathal – A Jackfruit Mystery,"May 19, 2023",Dark crime dramedy,1 h 55 min,Hindi
Hard Feelings,"May 24, 2023",Comedy,1 h 43 min,German
Mother's Day,"May 24, 2023",Action,1 h 34 min,Polish
Blood and Gold,"May 26, 2023",War,1 h 40 min,German
Where the Tracks End,"May 26, 2023",Family film,1 h 35 min,Spanish
A Beautiful Life,"June 1, 2023",Drama,1 h 39 min,Danish
Missed Connections,"June 2, 2023",Romantic comedy,1 h 47 min,Filipino
Rich in Love 2,"June 2, 2023",Romantic comedy,1 h 29 min,Portuguese
The Wonder Weeks,"June 9, 2023",Comedy drama,1 h 50 min,Dutch
You Do You,"June 9, 2023",Romantic comedy,1 h 39 min,Turkish
Black Clover: Sword of the Wizard King,"June 16, 2023",Anime,1 h 53 min,Japanese
Extraction 2,"June 16, 2023",Action thriller,2 h 3 min,English
iNumber Number: Jozi Gold,"June 23, 2023",Thriller,1 h 53 min,English
Make Me Believe,"June 23, 2023",Romantic comedy,1 h 44 min,Turkish
The Perfect Find,"June 23, 2023",Romantic comedy,1 h 39 min,English
Through My Window 2: Across the Sea,"June 23, 2023",Romance,1 h 51 min,Spanish
Lust Stories 2,"June 29, 2023",Anthology film,2 h 12 min,Hindi
Nimona,"June 30, 2023",Animated science fiction,1 h 42 min,English
Gold Brick,"July 6, 2023",Comedy,1 h 35 min,French
Seasons,"July 7, 2023",Romance,1 h 49 min,Filipino
The Out-Laws,"July 7, 2023",Action comedy,1 h 35 min,English
Mr. Car and the Knights Templar,"July 12, 2023",Drama,1 h 50 min,Polish
Bird Box Barcelona,"July 14, 2023",Post-apocalyptic horror-thriller,1 h 51 min,Spanish
Love Tactics 2,"July 14, 2023",Romantic comedy,1 h 38 min,Turkish
The (Almost) Legends,"July 19, 2023",Comedy,1 h 36 min,Spanish
They Cloned Tyrone,"July 21, 2023",Sci-fi comedy mystery,1 h 59 min,English
Happiness for Beginners,"July 27, 2023",Romantic comedy,1 h 43 min,English
Paradise,"July 27, 2023",Sci-fi action-thriller,1 h 58 min,German
The Murderer,"July 27, 2023",Black comedy,2 h,Thai
Today We'll Talk About That Day,"July 27, 2023",Melodrama,1 h 58 min,Indonesian
Big Nunu's Little Heist,"July 28, 2023",Comedy,1 h 32 min,Zulu
Soulcatcher,"August 2, 2023",Thriller,1 h 38 min,Polish
Head to Head,"August 3, 2023",Thriller comedy,1 h 34 min,Arabic
Zom 100: Bucket List of the Dead,"August 3, 2023",Zombie apocalypse / comedy,2 h 9 min,Japanese
Heart of Stone,"August 11, 2023",Spy thriller,2 h 5 min,English
10 Days of a Bad Man,"August 18, 2023",Drama,2 h 4 min,Turkish
"Love, Sex & 30 Candles","August 18, 2023",Drama,1 h 46 min,English
The Monkey King,"August 18, 2023",Animated action comedy,1 h 36 min,English
Squared Love Everlasting,"August 23, 2023",Romantic comedy,1 h 42 min,Polish
Killer Book Club,"August 25, 2023",Slasher,1 h 29 min,Spanish
You Are So Not Invited to My Bat Mitzvah,"August 25, 2023",Coming-of-age,1 h 43 min,English
The Great Seduction,"August 30, 2023",Comedy,1 h 35 min,Spanish
A Day and a Half,"September 1, 2023",Thriller,1 h 35 min,Swedish
Friday Night Plan,"September 1, 2023",Coming-of-age,1 h 48 min,Hindi
Happy Ending,"September 1, 2023",Comedy,1 h 33 min,Dutch
What If?,"September 7, 2023",Romantic drama,1 h 52 min,Filipino
Freestyle,"September 13, 2023",Thriller,1 h 28 min,Polish
Ehrengard: The Art of Seduction,"September 14, 2023",Romantic comedy,1 h 34 min,Danish
Once Upon a Crime,"September 14, 2023",Fantasy,1 h 47 min,Japanese
El Conde,"September 15, 2023",Black comedy,1 h 51 min,Spanish
Love at First Sight,"September 15, 2023",Romance,1 h 31 min,English
Jaane Jaan,"September 21, 2023",Thriller,2 h 19 min,Hindi
Spy Kids: Armageddon,"September 22, 2023",Action-adventure,1 h 37 min,English
The Black Book,"September 22, 2023",Thriller,2 h 4 min,English
Forgotten Love,"September 27, 2023",Drama,2 h 20 min,Polish
Overhaul,"September 27, 2023",Action drama,1 h 38 min,Portuguese
Street Flow 2,"September 27, 2023",Drama,1 h 38 min,French
Love Is in the Air,"September 28, 2023",Romantic comedy,1 h 28 min,English
Do Not Disturb,"September 29, 2023",Dramedy,1 h 54 min,Turkish
Nowhere,"September 29, 2023",Thriller,1 h 49 min,Spanish
Reptile,"September 29, 2023",Crime drama,2 h 16 min,English
Keys to the Heart,"October 4, 2023",Drama,1 h 42 min,Filipino
Khufiya,"October 5, 2023",Spy thriller,2 h 37 min,Hindi
Fair Play,"October 6, 2023",Erotic thriller,1 h 55 min,English
A Deadly Invitation,"October 6, 2023",Drama,1 h 33 min,Spanish
Ballerina,"October 6, 2023",Thriller,1 h 33 min,Korean
Once Upon a Star,"October 11, 2023",Drama,2 h 18 min,Thai
Ìjọ̀gbọ̀n,"October 13, 2023",Drama,1 h 55 min,Yoruba
The Conference,"October 13, 2023",Slasher comedy,1 h 40 min,Swedish
Crypto Boy,"October 19, 2023",Drama,1 h 43 min,Dutch
Kandasamys: The Baby,"October 20, 2023",Comedy,1 h 33 min,English
Old Dads,"October 20, 2023",Comedy,1 h 44 min,English
Burning Betrayal,"October 25, 2023",Thriller,1 h 38 min,Portuguese
Pain Hustlers,"October 27, 2023",Crime drama,2 h 4 min,English
Sister Death,"October 27, 2023",Horror,1 h 30 min,Spanish
Hurricane Season,"November 1, 2023",Drama,1 h 39 min,Spanish
Locked In,"November 1, 2023",Psychological thriller,1 h 36 min,English
Nuovo Olimpo,"November 1, 2023",Romance,1 h 52 min,Italian
Wingwomen,"November 1, 2023",Action dramedy,1 h 55 min,French
Nyad,"November 3, 2023",Biopic,2 h 1 min,English
The Killer,"November 10, 2023",Neo-noir action thriller,1 h 59 min,English
Best. Christmas. Ever!,"November 16, 2023",Romantic comedy,1 h 21 min,English
In Love and Deep Water,"November 16, 2023",Romantic mystery comedy,2 h 7 min,Japanese
Believer 2,"November 17, 2023",Crime action,1 h 56 min,Korean
Rustin,"November 17, 2023",Biographical drama,1 h 48 min,English
All-Time High,"November 17, 2023",Comedy,1 h 43 min,French
The Queenstown Kings,"November 17, 2023",Drama,2 h 17 min,Xhosa
Leo,"November 21, 2023",Animated musical,1 h 46 min,English
I Don't Expect Anyone to Believe Me,"November 22, 2023",Comedy-thriller,1 h 57 min,Spanish
Doi Boy,"November 24, 2023",Drama,1 h 39 min,Thai
Elena Knows,"November 24, 2023",Drama,1 h 40 min,Spanish
Last Call for Istanbul,"November 24, 2023",Drama,1 h 31 min,Turkish
Wedding Games,"November 24, 2023",Comedy,1 h 19 min,Portuguese
Family Switch,"November 30, 2023",Comedy,1 h 45 min,English
Christmas As Usual,"December 6, 2023",Romantic comedy,1 h 29 min,Norwegian
NAGA,"December 7, 2023",Thriller,1 h 53 min,Arabic
